#	PDB ID	Name	Source	"Res
(Å)"
0	2R6G	THE CRYSTAL STRUCTURE OF THE E. COLI MALTOSE TRANSPORTER	ESCHERICHIA COLI K12	2.8
0	3D31	MODBC FROM METHANOSARCINA ACETIVORANS	METHANOSARCINA ACETIVORANS	3
0	2ONK	ABC TRANSPORTER MODBC IN COMPLEX WITH ITS BINDING PROTEIN MODA	ARCHAEOGLOBUS FULGIDUS	3.1
1	2NQ2	AN INWARD-FACING CONFORMATION OF A PUTATIVE METAL-CHELATE TYPE ABC TRANSPORTER	HAEMOPHILUS INFLUENZAE	2.4
1	2QI9	ABC-TRANSPORTER BTUCD IN COMPLEX WITH ITS PERIPLASMIC BINDING PROTEIN BTUF	ESCHERICHIA COLI	2.6
2	3B9W	THE 1.3 A RESOLUTION STRUCTURE OF NITROSOMONAS EUROPAEA RH50 AND MECHANISTIC IMPLICATIONS FOR NH3 TRANSPORT BY RHESUS FAMILY PROTEINS	NITROSOMONAS EUROPAEA	1.3
2	1U7G	CRYSTAL STRUCTURE OF AMMONIA CHANNEL AMTB FROM E. COLI	ESCHERICHIA COLI	1.4
2	2B2H	AMMONIUM TRANSPORTER AMT-1 FROM A. FULGIDUS (AS)	ARCHAEOGLOBUS FULGIDUS	1.54
3	2W2E	1.15 ANGSTROM CRYSTAL STRUCTURE OF P.PASTORIS AQUAPORIN, AQY1, IN A CLOSED CONFORMATION AT PH 3.5	PICHIA PASTORIS	1.15
3	2F2B	CRYSTAL STRUCTURE OF INTEGRAL MEMBRANE PROTEIN AQUAPORIN AQPM AT 1.68A RESOLUTION	METHANOTHERMOBACTER MARBURGENSIS STR.	1.68
3	3GD8	CRYSTAL STRUCTURE OF HUMAN AQUAPORIN 4 AT 1.8 AND ITS MECHANISM OF CONDUCTANCE	HOMO SAPIENS	1.8
3	2B6O	ELECTRON CRYSTALLOGRAPHIC STRUCTURE OF LENS AQUAPORIN-0 (AQP0) (LENS MIP) AT 1.9A RESOLUTION, IN A CLOSED PORE STATE	OVIS ARIES	1.9
3	2O9G	CRYSTAL STRUCTURE OF AQPZ MUTANT L170C COMPLEXED WITH MERCURY.	ESCHERICHIA COLI	1.9
3	3D9S	HUMAN AQUAPORIN 5 (AQP5) - HIGH RESOLUTION X-RAY STRUCTURE	HOMO SAPIENS	2
3	3LLQ	AQUAPORIN STRUCTURE FROM PLANT PATHOGEN AGROBACTERIUM TUMERFACIENS	AGROBACTERIUM TUMEFACIENS STR. C58	2.01
3	3CN5	CRYSTAL STRUCTURE OF THE SPINACH AQUAPORIN SOPIP21 S115E, S274E MUTANT	SPINACIA OLERACEA	2.05
3	3C02	X-RAY STRUCTURE OF THE AQUAGLYCEROPORIN FROM PLASMODIUM FALCIPARUM	PLASMODIUM FALCIPARUM	2.05
3	1LDF	CRYSTAL STRUCTURE OF THE E. COLI GLYCEROL FACILITATOR (GLPF) MUTATION W48F, F200T	ESCHERICHIA COLI	2.1
3	3KLY	PENTAMERIC FORMATE CHANNEL	VIBRIO CHOLERAE	2.1
3	1J4N	CRYSTAL STRUCTURE OF THE AQP1 WATER CHANNEL	BOS TAURUS	2.2
4	1M0L	BACTERIORHODOPSIN/LIPID COMPLEX AT 1.47 A RESOLUTION	HALOBACTERIUM SALINARUM	1.47
4	2JAF	GROUND STATE OF HALORHODOPSIN T203V	HALOBACTERIUM SALINARIUM	1.7
4	1H2S	MOLECULAR BASIS OF TRANSMENBRANE SIGNALLING BY SENSORY RHODOPSIN II-TRANSDUCER COMPLEX	NATRONOMONAS PHARAONIS	1.93
4	1XIO	ANABAENA SENSORY RHODOPSIN	NOSTOC SP. PCC 7120	2
4	3A7K	CRYSTAL STRUCTURE OF HALORHODOPSIN FROM NATRONOMONAS PHARAONIS	NATRONOMONAS PHARAONIS DSM 2160	2
4	2EI4	TRIMERIC COMPLEX OF ARCHAERHODOPSIN-2	HALOBACTERIUM SP. AUS-2	2.1
5	1OTS	STRUCTURE OF THE ESCHERICHIA COLI CLC CHLORIDE CHANNEL AND FAB COMPLEX	ESCHERICHIA COLI	2.51
5	1KPL	CRYSTAL STRUCTURE OF THE CLC CHLORIDE CHANNEL FROM S. TYPHIMURIUM	SALMONELLA TYPHIMURIUM	3
6	2ZT9	CRYSTAL STRUCTURE OF THE CYTOCHROME B6F COMPLEX FROM NOSTOC SP. PCC 7120	NOSTOC SP. PCC 7120	3
6	1Q90	STRUCTURE OF THE CYTOCHROME B6F (PLASTOHYDROQUINONE : PLASTOCYANIN OXIDOREDUCTASE) FROM CHLAMYDOMONAS REINHARDTII	CHLAMYDOMONAS REINHARDTII	3.1
7	3CX5	STRUCTURE OF COMPLEX III WITH BOUND CYTOCHROME C IN REDUCED STATE AND DEFINITION OF A MINIMAL CORE INTERFACE FOR ELECTRON TRANSFER.	SACCHAROMYCES CEREVISIAE	1.9
7	2A06	BOVINE CYTOCHROME BC1 COMPLEX WITH STIGMATELLIN BOUND	BOS TAURUS	2.1
7	2QJY	CRYSTAL STRUCTURE OF RHODOBACTER SPHAEROIDES DOUBLE MUTANT WITH STIGMATELLIN AND UQ2	RHODOBACTER SPHAEROIDES	2.4
7	3L70	CYTOCHROME BC1 COMPLEX FROM CHICKEN WITH TRIFLOXYSTROBIN BOUND	GALLUS GALLUS	2.75
8	1V54	BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE	BOS TAURUS	1.8
8	2GSM	CATALYTIC CORE (SUBUNITS I AND II) OF CYTOCHROME C OXIDASE FROM RHODOBACTER SPHAEROIDES	RHODOBACTER SPHAEROIDES	2
8	3HB3	HIGH RESOLUTION CRYSTAL STRUCTURE OF PARACOCCUS DENITRIFICANS CYTOCHROME C OXIDASE	PARACOCCUS DENITRIFICANS	2.25
9	1V54	BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE	BOS TAURUS	1.8
